,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
1,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Mitsubishi Outlander 2.0D 4X4 SVAJCARSKA,5.950 €,2007. | ,153.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
4,Mitsubishi Outlander 2.0 16V metan,2.400 €,2004. | ,232.000 km | ,Metan CNG | ,"1987 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
5,Mitsubishi Lancer 2.0 D,6.600 €,2010. | ,200.000 km | ,Dizel | ,"1968 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
6,Mitsubishi Colt 1.5 DISEL SVAJCARSKA,1.999 €,2007. | ,163.967 km | ,Dizel | ,"1493 cm3, ","Limuzina, ","70kW (95KS), ","Manuelni 5 brzina, "
7,Mitsubishi Eclipse 1.5 Intense 4WD CVT,N/A,2019. | ,0 km | ,Benzin | ,"1499 cm3, ","Džip/SUV, ","120kW (163KS), ","Automatski menjač, "
8,Mitsubishi Outlander 2.0 b,2.999 €,2004. | ,158.123 km | ,Benzin | ,"1996 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 6 brzina, "
9,Mitsubishi Outlander 2.0 tdi,6.999 €,2007. | ,215.586 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
10,Mitsubishi Colt 1.5 DID,2.250 €,2004. | ,165.000 km | ,Dizel | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
11,Mitsubishi Outlander RATA 75e/4X4/7SED,7.199 €,2007. | ,167.382 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
12,Mitsubishi Eclipse 1.5 Intense 4WD CVT,27.740 €,2019. | ,0 km | ,Benzin | ,"1499 cm3, ","Džip/SUV, ","120kW (163KS), ","Automatski menjač, "
13,Mitsubishi Outlander 2.0TDI E X T R A,6.499 €,2008. | ,187.357 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
14,Mitsubishi Space Star ,500 €,2001. | ,200.000 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
15,Mitsubishi Outlander 2.0 DiD,8.999 €,2010. | ,212.404 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
16,Mitsubishi Pajero 2.5 TD,1.100 €,1991. | ,232.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","70kW (95KS), ","Manuelni 5 brzina, "
17,Mitsubishi ASX 4x4 Švajcarska,8.490 €,2011. | ,183.000 km | ,Dizel | ,"1790 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
18,Mitsubishi Pajero Pinin 1.8 GDI,3.250 €,2001. | ,196.000 km | ,Benzin | ,"1800 cm3, ","Džip/SUV, ","1kW (1KS), ","Manuelni 5 brzina, "
19,Mitsubishi L200 ,9.999 €,2007. | ,225.868 km | ,Dizel | ,"2500 cm3, ","Pickup, ","100kW (136KS), ","Manuelni 6 brzina, "
20,Mitsubishi Colt 1.5 CZT,3.200 €,2005. | ,153.215 km | ,Benzin | ,"1468 cm3, ","Hečbek, ","110kW (150KS), ","Manuelni 5 brzina, "
